"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",83.2867440350516,5.58519813178628e-25,5.58519813178628e-23
"SNP1",83.0705755189445,4.32156623755252e-29,4.32156623755252e-27
"SNP2",36.1422840147343,3.3900810312969e-08,3.3900810312969e-06
"SNP5",18.4343500212117,0.00113602601729165,0.113602601729165
"SNP8",8.74079019091652,0.0077416311693579,0.77416311693579
"SNP37",4.02160472077609,0.847058542386345,1
"SNP19",3.82268782165555,0.572797379198366,1
"SNP71",3.53144700488037,0.592990232217189,1
"SNP59",3.49722793543823,0.44953356690418,1
