"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP1",45.799712788226,1.46154236139173e-17,1.46154236139173e-15
"SNP7",42.644399724366,1.43581186613265e-15,1.43581186613265e-13
"SNP2",40.5243553784165,0.00144072089470629,0.144072089470629
"SNP5",40.10954041903,0.00710460406597629,0.710460406597629
"SNP8",36.9005391584923,3.83304111003614e-05,0.00383304111003614
"SNP4",35.5052561776464,1.17178900412151e-13,1.17178900412151e-11
"SNP78",3.9580266343335,0.524529293537595,1
"SNP29",3.45488341420106,0.368707417377797,1
"SNP59",3.41229463224961,0.570580630929974,1
