"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",83.2867440350516,5.58519813178628e-25,5.58519813178628e-23
"SNP1",83.0705755189445,4.32156623755252e-29,4.32156623755252e-27
"SNP2",36.1422840147343,3.3900810312969e-08,3.3900810312969e-06
"SNP5",18.4343500212117,0.00113602601729165,0.113602601729165
"SNP4",12.3229417956504,0.0151565495831312,1
"SNP54",4.66825839742892,0.215272086442919,1
"SNP92",4.18653263309096,0.517994837779078,1
"SNP11",4.0188868724485,7.19009632316955e-05,0.00719009632316955
"SNP99",3.84225117196187,0.872266633216938,1
"SNP64",3.57578919674649,0.768615483449704,1
"SNP71",3.53144700488037,0.592990232217189,1
"SNP59",3.49722793543823,0.44953356690418,1
