"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",83.2867440350516,5.58519813178628e-25,5.58519813178628e-23
"SNP1",83.0705755189445,4.32156623755252e-29,4.32156623755252e-27
"SNP2",36.1422840147343,3.3900810312969e-08,3.3900810312969e-06
"SNP5",18.4343500212117,0.00113602601729165,0.113602601729165
"SNP4",12.3229417956504,0.0151565495831312,1
"SNP8",8.74079019091652,0.0077416311693579,0.77416311693579
"SNP89",4.90038355255645,0.00875282997901768,0.875282997901768
"SNP54",4.66825839742892,0.215272086442919,1
"SNP27",4.34367225406254,0.11186612376087,1
"SNP92",4.18653263309096,0.517994837779078,1
"SNP16",4.08454200988958,0.783222266940385,1
"SNP37",4.02160472077609,0.847058542386345,1
"SNP11",4.0188868724485,7.19009632316955e-05,0.00719009632316955
"SNP99",3.84225117196187,0.872266633216938,1
"SNP19",3.82268782165555,0.572797379198366,1
"SNP79",3.67206251103268,0.999999999999989,1
"SNP38",3.57949883606676,0.759515733984403,1
"SNP71",3.53144700488037,0.592990232217189,1
"SNP59",3.49722793543823,0.44953356690418,1
"SNP20",3.3803879305107,0.212528475130482,1
"SNP50",3.33424471837112,0.999999999999984,1
"SNP6",3.32889000989102,0.223803041851865,1
"SNP43",3.27320939423964,0.0248332884358663,1
"SNP46",3.12827709424627,0.170574350743015,1
"SNP73",3.11968722995455,0.539541105097192,1
"SNP70",3.09444804349725,0.749576236422917,1
"SNP82",3.05982060990581,0.695631048482096,1
"SNP53",3.01180111070235,0.88916886058586,1
"SNP56",3.00442884208685,0.516499999297752,1
"SNP7",2.99460959043165,0.61666155610864,1
